SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
TIM2_9;2006;TIM2;TP;TIM;0,615022201;-0,439623117;68,00092017;31,99907983;0
PAB2_1;2006;PAB2;PA;PAB;0,623983677;-0,436905815;68,15804434;31,84195566;0
PA2_7;2007;PA2;PA;UCR;0,625947701;-0,436310283;68,19248017;31,80751983;0
PAB1_1;2006;PAB1;TP;PAB;0,652016374;-0,428405731;68,64954985;31,35045015;0
PA2_7;2006;PA2;PA;UCR;0,693906152;-0,415703899;69,38401559;30,61598441;0
PAB2_5;2008;PAB2;TP;PAB;0,734470554;0,159902821;68,75230898;23,84550798;7,402183039
PAB2_1;2007;PAB2;PA;PAB;0,741898088;-0,401151767;70,22547227;29,77452773;0
TIM1_1;2008;TIM1;PA;TIM;0,752027317;-0,398080379;70,40307102;29,59692898;0
TIM3_5;2006;TIM3;PA;TIM;0,752792596;0,891348711;67,34301837;15,71617241;16,94080922
SGO_1;2008;SGO;PA;UCR;0,762195133;0,458686189;68,54614851;20,23594726;11,21790423
PAB1_2;2008;PAB1;TP;PAB;0,763003554;0,244621476;71,13537118;24,20669578;9,143377001
TIM2_6;2006;TIM2;PA;TIM;0,796130524;-0,38470739;71,17634546;28,82365454;0
TIM1_3;2007;TIM1;PA;TIM;0,80996161;-0,380513523;71,41884995;28,58115005;0
PA2_3;2008;PA2;PA;UCR;0,859741505;-0,315849234;72,17347956;27,17514124;0,651379196
PA2_3;2007;PA2;PA;UCR;0,869413368;-0,234652405;72,156476;26,16370809;1,679815911
TIM3_4;2007;TIM3;TP;TIM;0,892641296;-0,355443361;72,86849711;27,13150289;0
SGO_3;2008;SGO;PA;UCR;0,938309841;-0,296612123;73,56197531;25,84691358;0,591111111
FAR_5;2008;FAR;RR;ARC;0,966288093;0,747440201;71,58371041;14,21719457;14,19909502
PA2_1;2007;PA2;PA;UCR;0,974309082;-0,330680027;74,30040232;25,69959768;0
PA2_7;2008;PA2;PA;UCR;0,982545436;-0,328182597;74,44481273;25,55518727;0
PAB3_2;2007;PAB3;TP;PAB;0,988213313;-0,326463982;74,54418928;25,45581072;0
ITA7_1;2007;ITA7;PA;ITA;1,004693668;2,018206061;69,25531915;0;30,74468085
PLE_3;2008;PLE;PA;UCR;1,009647434;-0,31996472;74,92;25,08;0
PA2_6;2008;PA2;PA;UCR;1,017643553;-0,317540134;75,0601983;24,9398017;0
PAB1_3;2006;PAB1;TP;PAB;1,037688364;-0,31146214;75,41164985;24,58835015;0
TIM2_3;2006;TIM2;PA;TIM;1,056887026;-0,305640715;75,74826561;24,25173439;0
ITA1_1;2006;ITA1;PA;ITA;1,065293575;0,534658606;73,89844734;15,09302;11,00853266
TIM3_6;2006;TIM3;PA;TIM;1,094086887;-0,294360961;76,40050167;23,59949833;0
PLE_3;2006;PLE;PA;UCR;1,099687381;-0,292662777;76,49869679;23,50130321;0
ARE_3;2006;ARE;PA;UCR;1,126394867;-0,284564524;76,96696697;23,03303303;0
PLE_2;2008;PLE;PA;UCR;1,137679827;-0,075321037;76,67414669;20,62123538;2,704617928
ITA5_1;2007;ITA5;PA;ITA;1,141073547;0,700171106;74,88731487;12,23116549;12,88151964
PA2_1;2008;PA2;PA;UCR;1,145259951;-0,103011538;76,87854545;20,81090909;2,310545455
PAB3_2;2008;PAB3;TP;PAB;1,162554607;0,251183506;76,34987196;16,75416133;6,895966709
ARE_5;2008;ARE;TP;UCR;1,172860685;0,055589797;77,00432069;18,71099376;4,28468555
ITA3_2;2008;ITA3;PA;ITA;1,211079556;1,212686818;74,94350962;5,719150641;19,33733974
FAR_5;2006;FAR;RR;ARC;1,247381658;-0,247878868;79,08826382;20,91173618;0
SGO_3;2007;SGO;PA;UCR;1,291623984;-0,234463695;79,86397749;20,13602251;0
TIM3_5;2007;TIM3;PA;TIM;1,304655003;0,811842486;77,60746004;8,695381883;13,69715808
TIM3_6;2008;TIM3;PA;TIM;1,309260637;-0,229115903;80,17320608;19,82679392;0
PAB1_6;2007;PAB1;PA;PAB;1,341677562;-0,219286432;80,74158154;19,25841846;0
ITA3_1;2007;ITA3;PA;ITA;1,363647583;1,015330458;78,19931973;5,66462585;16,13605442
ITA1_1;2008;ITA1;PA;ITA;1,402073673;0,510156344;80,10517799;10,55016181;9,344660194
PAB1_6;2008;PAB1;PA;PAB;1,419710513;-0,171132704;82,05136541;17,62678804;0,321846554
TIM1_2;2007;TIM1;PA;TIM;1,4324305;-0,191768295;82,33277939;17,66722061;0
SGO_4;2007;SGO;PA;UCR;1,522502092;-0,082482184;83,71660204;15,20620374;1,077194219
PA2_5;2008;PA2;PA;UCR;1,537559102;-0,159891165;84,17602996;15,82397004;0
PAB1_1;2008;PAB1;TP;PAB;1,553508989;-0,155054835;84,45568401;15,54431599;0
TIM3_6;2007;TIM3;PA;TIM;1,564520416;-0,151715946;84,64875059;15,35124941;0
PAB5_1;2006;PAB5;PA;PAB;1,572931137;-0,149165645;84,79621822;15,20378178;0
FAR_5;2007;FAR;RR;ARC;1,596479063;-0,142025435;85,20909091;14,79090909;0
PAB1_7;2007;PAB1;PA;PAB;1,600580422;0,360798818;84,08522337;9,32371134;6,591065292
TIM1_3;2008;TIM1;PA;TIM;1,621912993;-0,053174835;85,46159569;13,47219639;1,066207923
